timestamp;fsr1;fsr2
5133;54;0
5136;58;0
5140;56;1
5144;55;4
5147;45;0
5151;44;0
5154;55;0
5158;48;0
5161;46;0
5165;45;1
5168;46;0
5172;46;0
5176;57;1
5179;57;0
5183;47;0
5186;42;0
5190;45;0
5193;47;2
5197;59;2
5200;56;0
5204;57;1
5208;55;0
5211;42;0
5215;56;1
5218;56;2
5222;55;1
5225;45;2
5229;44;3
5232;46;0
5236;59;3
5240;56;2
5243;48;2
5247;46;0
5250;44;0
5254;55;0
5257;58;0
5261;56;0
5265;45;0
5268;44;4
5272;48;1
5275;56;0
5279;57;1
5282;56;0
5286;45;3
5289;44;1
5293;46;2
5297;55;0
5300;58;1
5304;55;2
5307;44;2
5311;46;0
5314;57;0
5321;56;1
5321;57;0
5325;46;2
5329;56;0
5332;55;0
5336;57;0
5339;57;3
5343;56;0
5346;43;1
5350;46;0
5353;56;0
5357;58;1
5361;56;0
5364;46;0
5368;47;0
5371;44;0
5375;56;0
5378;57;0
5382;56;1
5386;46;1
5389;42;3
5393;56;0
5396;57;0
5400;56;0
5403;54;2
5407;44;1
5410;43;2
5414;46;1
5418;56;3
5421;57;0
5425;46;2
5428;47;0
5432;47;0
5435;56;2
5439;56;0
5442;48;0
5446;43;1
5450;55;1
5453;55;1
5457;58;1
5460;57;1
5464;46;2
5467;47;2
5471;45;1
5474;56;0
5478;46;0
5482;56;0
5485;46;0
5489;47;0
5492;54;0
5496;57;2
5502;57;0
5503;55;0
5507;48;0
5510;44;1
5514;56;2
5517;57;0
5521;56;0
5524;46;0
5528;44;0
5531;55;1
5535;56;0
5539;56;0
5542;44;0
5546;45;1
5549;45;1
5553;57;1
5556;48;3
5560;58;0
5563;47;0
5567;43;0
5571;46;0
5574;57;2
5578;57;1
5581;58;2
5585;47;1
5588;45;0
5592;55;3
5595;59;1
5599;57;0
5603;45;0
5606;45;0
5610;44;2
5613;47;0
5617;56;0
5620;57;0
5624;54;0
5628;53;1
5631;46;2
5635;57;1
5638;57;0
5642;56;1
5645;46;2
5649;44;4
5652;55;1
5656;56;0
5660;58;1
5663;55;0
5667;45;2
5670;45;1
5674;55;2
5677;55;1
5683;56;0
5684;54;2
5688;46;0
5692;47;0
5695;55;0
5699;60;1
5702;44;1
5706;45;1
5709;44;1
5713;55;1
5716;59;2
5720;56;0
5724;47;1
5727;43;1
5731;47;0
5734;46;0
5738;56;1
5741;57;0
5745;47;1
5748;45;0
5752;44;1
5756;56;1
5759;56;0
5763;45;3
5766;46;2
5770;43;0
5773;47;0
5777;58;2
5781;56;2
5784;55;0
5788;43;1
5791;54;1
5795;57;1
5798;57;1
5802;47;0
5805;45;1
5809;45;1
5813;46;2
5816;54;0
5820;58;0
5823;55;1
5827;46;1
5830;45;0
5834;47;0
5837;55;1
5841;56;3
5845;45;0
5848;45;2
5852;46;0
5855;56;2
5859;56;0
5865;48;0
5866;46;1
5869;45;0
5873;54;1
5877;56;5
5880;57;0
5884;55;0
5887;47;1
5891;45;0
5894;56;0
5898;54;3
5902;47;2
5905;47;0
5909;43;0
5912;45;1
5916;59;2
5919;57;0
5923;55;0
5926;54;0
5930;45;2
5934;54;0
5937;56;0
5941;57;1
5944;54;0
5948;46;1
5951;45;2
5955;48;0
5958;56;2
5962;55;1
5966;45;1
5969;47;0
5973;55;0
5976;59;0
5980;56;1
5983;58;1
5987;47;3
5990;47;1
5994;47;1
5998;59;0
6001;56;0
6005;46;0
6008;53;0
6012;46;2
6015;57;0
6019;56;1
6023;57;1
6026;48;0
6030;55;0
6033;56;2
6037;56;2
6040;47;2
6044;56;1
6051;46;2
6051;46;0
6055;58;0
6058;58;2
6062;56;1
6065;46;0
6069;44;1
6072;56;1
6076;56;1
6079;57;0
6083;47;1
6087;56;1
6090;44;0
6094;48;1
6097;56;0
6101;55;1
6104;55;1
6108;44;0
6111;46;2
6115;56;0
6119;55;0
6122;55;1
6126;46;0
6129;46;1
6133;47;0
6136;56;0
6140;56;1
6144;46;0
6147;45;1
6151;55;0
6154;57;1
6158;56;2
6161;56;0
6165;45;0
6168;55;0
6172;47;1
6176;56;2
6179;56;0
6183;48;1
6186;56;0
6190;55;0
6193;48;0
6197;59;0
6200;57;4
6204;55;0
6208;46;0
6211;45;1
6215;47;2
6218;56;0
6222;56;0
6225;47;0
6231;48;2
6232;56;2
6236;56;0
6240;56;1
6243;46;2
6247;47;0
6250;47;2
6254;47;1
6257;48;0
6261;58;2
6265;56;1
6268;46;0
6272;47;0
6275;59;0
6279;48;0
6282;47;1
6286;55;0
6289;47;0
6293;48;0
6297;57;1
6300;48;3
6304;55;0
6307;45;0
6311;45;0
6314;48;0
6318;56;0
6321;56;0
6325;56;2
6329;46;1
6332;46;2
6336;54;0
6339;58;2
6343;45;0
6346;55;0
6350;46;1
6353;47;1
6357;56;0
6361;55;0
6364;55;0
6368;46;1
6371;47;0
6375;48;3
6378;56;3
6382;56;2
6386;47;2
6389;45;0
6393;56;1
6396;55;2
6400;57;0
6403;56;1
6407;47;1
6413;46;0
6414;55;1
6418;58;2
6421;57;0
6425;56;1
6428;56;0
6432;55;3
6435;56;0
6439;57;0
6442;47;2
6446;47;1
6450;47;1
6453;55;2
6457;56;0
6460;57;2
6464;55;0
6467;47;1
6471;46;0
6474;54;0
6478;56;2
6482;56;0
6485;47;1
6489;45;1
6492;44;1
6496;57;2
6499;56;2
6503;47;2
6506;44;0
6510;47;2
6514;47;0
6517;59;0
6521;46;2
6524;47;1
6528;48;0
6531;56;0
6535;57;0
6539;57;1
6542;55;1
6546;47;2
6549;54;1
6553;54;0
6556;55;0
6560;56;0
6563;55;2
6567;55;3
6571;44;0
6574;46;0
6578;48;1
6581;48;1
6585;57;0
6588;46;0
6594;53;0
6595;47;0
6599;54;0
6603;48;0
6606;45;1
6610;46;0
6613;56;3
6617;56;0
6620;56;1
6624;54;3
6627;45;0
6631;47;0
6635;48;0
6638;55;1
6642;56;2
6645;55;1
6649;46;1
6652;48;0
6656;58;2
6660;55;0
6663;47;0
6667;55;1
6670;48;0
6674;57;1
6677;57;1
6681;55;1
6684;47;0
6688;47;2
6692;46;2
6695;56;1
6699;47;1
6702;57;0
6706;45;0
6709;46;0
6713;56;0
6716;56;0
6720;57;2
6724;55;4
6727;46;0
6731;56;3
6734;57;1
6738;48;0
6741;57;2
6745;46;0
6748;46;1
6752;52;1
6756;59;3
6759;55;0
6763;47;1
6766;43;0
6770;46;0
6776;57;0
6777;57;0
6781;46;2
6784;46;1
6788;46;0
6791;45;0
6795;54;1
6798;57;1
6802;47;1
6805;45;1
6809;46;0
6813;46;1
6816;58;0
6820;55;0
6823;55;3
6827;44;1
6830;54;0
6834;53;0
6837;56;1
6841;55;2
6845;55;2
6848;45;3
6852;45;0
6855;57;0
6859;56;0
6862;56;0
6866;47;2
6869;48;1
6873;47;0
6877;54;0
6880;55;0
6884;46;0
6887;46;0
6891;55;0
6894;54;1
6898;54;0
6902;57;0
6905;46;1
6909;56;0
6912;45;0
6916;57;0
6919;55;2
6923;56;1
6926;57;0
6930;56;1
6934;56;1
6937;47;0
6941;55;2
6944;46;0
6948;47;1
6951;55;1
6955;55;2
6961;48;3
6962;47;0
6966;47;1
6969;56;1
6973;44;1
6976;56;0
6980;57;0
6983;44;0
6987;44;1
6990;44;0
6994;47;0
6998;54;1
7001;56;0
7005;54;2
7008;46;0
7012;46;0
7015;46;2
7019;58;0
7023;47;0
7026;54;3
7030;47;0
7033;54;0
7037;46;0
7040;46;3
7044;57;0
7047;48;1
7051;55;1
7055;47;1
7058;47;3
7062;56;0
7065;57;3
7069;46;0
7072;56;1
7076;56;0
7079;56;3
7083;55;0
7087;47;3
7090;46;2
7094;48;1
7097;54;0
7101;48;0
7104;47;0
7108;46;0
7111;46;0
7115;58;0
7119;56;2
7122;57;1
7126;56;1
7129;55;3
7133;46;0
7136;57;0
7142;48;1
7144;54;2
7147;55;0
7151;55;0
7154;55;0
7158;56;2
7161;55;0
7165;56;0
7168;45;3
7172;54;0
7176;57;0
7179;55;1
7183;55;1
7186;47;0
7190;48;0
7193;47;0
7197;56;1
7200;56;1
7204;56;2
7208;47;0
7211;55;1
7215;56;0
7218;55;2
7222;55;1
7225;56;0
7229;46;1
7232;58;1
7236;48;1
7240;48;0
7243;55;2
7247;57;0
7250;46;0
7254;45;0
7257;58;0
7261;55;0
7264;46;2
7268;46;1
7272;46;0
7275;55;2
7279;55;0
7282;57;0
7286;54;1
7289;55;0
7293;55;0
7297;56;0
7300;48;1
7304;57;0
7307;45;1
7311;55;0
7314;47;0
7318;58;0
7324;48;1
7325;48;0
7329;54;1
7332;56;0
7336;56;0
7339;56;2
7343;47;3
7346;47;5
7350;57;0
7353;46;0
7357;55;2
7361;57;0
7364;57;3
7368;45;1
7371;56;2
7375;55;0
7378;48;0
7382;46;2
7385;46;1
7389;47;0
7393;56;2
7396;47;0
7400;48;22
7403;56;333
7407;56;698
7410;48;1051
7414;55;1447
7418;59;1740
7421;55;1994
7425;46;2192
7428;57;2366
7432;57;2503
7435;58;2617
7439;54;2718
7442;57;2813
7446;47;2921
7450;56;3004
7453;56;3065
7457;47;3135
7460;48;3194
7464;47;3274
7467;52;3339
7471;56;3389
7474;58;3448
7478;59;3498
7484;57;3592
7485;56;3598
7489;57;3642
7492;59;3675
7496;57;3712
7499;48;3738
7503;57;3759
7506;47;3786
7510;55;3804
7514;56;3818
7517;46;3833
7521;58;3849
7524;59;3854
7528;59;3866
7531;57;3879
7535;60;3882
7539;58;3888
7542;61;3910
7546;59;3914
7549;59;3928
7553;58;3929
7556;58;3942
7560;57;3933
7563;58;3945
7567;58;3951
7571;61;3965
7574;59;3979
