Column1;Column2;Column3
5430;1295;3741
5432;1294;3738
5432;1292;3739
5432;1296;3738
5435;1294;3737
5438;1293;3735
5442;1294;3727
5445;1295;3725
5449;1295;3723
5453;1293;3721
5456;1295;3721
5460;1292;3720
5463;1293;3712
5467;1295;3720
5470;1293;3720
5474;1294;3720
5477;1295;3720
5481;1293;3719
5485;1295;3720
5488;1294;3721
5492;1293;3722
5495;1294;3722
5499;1294;3724
5502;1294;3725
5506;1294;3736
5509;1295;3738
5513;1301;3741
5517;1295;3751
5520;1303;3753
5524;1303;3757
5527;1321;3768
5531;1324;3771
5534;1339;3785
5538;1369;3800
5542;1386;3804
5545;1392;3821
5549;1420;3835
5552;1431;3852
5556;1438;3869
5559;1449;3884
5563;1464;3900
5566;1498;3914
5570;1517;3930
5574;1532;3945
5577;1561;3961
5581;1578;3976
5584;1581;3992
5588;1612;4010
5591;1628;4025
5595;1656;4040
5598;1686;4046
5602;1690;4060
5606;1711;4073
5609;1724;4088
5613;1739;4091
5616;1758;4095
5620;1768;4095
5623;1774;4095
5627;1785;4095
5630;1798;4095
5634;1803;4095
5638;1806;4095
5641;1807;4095
5645;1807;4095
5648;1821;4095
5652;1816;4095
5655;1820;4095
5659;1816;4095
5663;1804;4095
5666;1800;4095
5670;1770;4095
5673;1742;4095
5677;1725;4095
5680;1735;4095
5684;1706;4095
5687;1673;4095
5691;1656;4095
5695;1629;4095
5698;1594;4095
5702;1577;4095
5705;1560;4095
5709;1547;4095
5712;1527;4095
5716;1513;4095
5719;1497;4095
5723;1480;4095
5727;1468;4095
5730;1470;4095
5734;1468;4095
5737;1480;4095
5741;1469;4095
5744;1463;4095
5748;1466;4095
5751;1464;4095
5755;1456;4095
5759;1455;4095
5762;1463;4095
5766;1456;4095
5769;1453;4095
5773;1451;4095
5776;1448;4095
5780;1450;4095
5784;1438;4095
5787;1433;4095
5791;1433;4095
5794;1416;4095
5798;1415;4095
5801;1421;4095
5805;1432;4095
5808;1431;4095
5812;1430;4095
5816;1437;4095
5819;1432;4095
5823;1433;4095
5826;1420;4095
5830;1438;4095
5833;1416;4095
5837;1391;4095
5840;1390;4095
5844;1387;4095
5848;1383;4095
5851;1370;4095
5855;1367;4095
5858;1355;4095
5862;1353;4095
5865;1343;4095
5869;1343;4095
5872;1340;4095
5876;1326;4095
5880;1321;4095
5883;1322;4095
5887;1320;4095
5890;1321;4095
5894;1320;4095
5897;1321;4095
5901;1320;4095
5905;1309;4095
5908;1310;4095
5912;1308;4095
5915;1308;4095
5919;1306;4095
5922;1306;4095
5926;1306;4095
5929;1306;4095
5933;1306;4095
5937;1306;4095
5940;1309;4095
5944;1311;4094
5947;1312;4093
5951;1312;4092
5954;1320;4090
5958;1322;4087
5961;1342;4079
5965;1352;4075
5969;1357;4072
5972;1359;4072
5976;1384;4061
5979;1386;4059
5983;1385;4056
5986;1388;4048
5990;1401;4044
5993;1406;4042
5997;1407;4040
6001;1417;4040
6004;1421;4029
6008;1447;4028
6011;1467;4026
6015;1479;4025
6018;1499;4015
6022;1496;4012
6026;1518;4010
6029;1518;4009
6033;1531;4008
6036;1532;3998
6040;1546;3997
6043;1547;3995
6047;1559;3995
6050;1560;3994
6054;1561;3991
6058;1562;3982
6061;1563;3981
6065;1563;3982
6068;1565;3983
6072;1564;3982
6075;1550;3981
6079;1563;3981
6082;1575;3980
6086;1575;3980
6090;1580;3979
6093;1583;3980
6097;1580;3980
6100;1580;3980
6104;1578;3981
6107;1566;3981
6111;1565;3982
6114;1561;3980
6118;1547;3982
6122;1545;3980
6125;1544;3980
6129;1535;3980
6132;1520;3979
6136;1516;3978
6139;1515;3979
6143;1513;3976
6146;1513;3977
6150;1513;3977
6154;1516;3976
6157;1514;3976
6161;1516;3967
6164;1517;3967
6168;1518;3967
6171;1519;3964
6175;1527;3966
6179;1528;3964
6182;1530;3964
6186;1529;3963
6189;1535;3963
6193;1544;3961
6196;1544;3963
6200;1549;3962
6203;1563;3961
6207;1565;3960
6211;1568;3950
6214;1593;3951
6218;1595;3959
6221;1598;3950
6225;1610;3950
6228;1611;3950
6232;1623;3948
6235;1624;3948
6239;1629;3949
6243;1630;3948
6246;1659;3947
6250;1661;3948
6253;1675;3946
6257;1675;3946
6260;1677;3946
6264;1680;3944
6267;1692;3934
6271;1691;3943
6275;1694;3943
6278;1709;3934
6282;1720;3933
6285;1721;3932
6289;1725;3932
6292;1735;3933
6296;1735;3930
6300;1737;3931
6303;1741;3930
6307;1741;3928
6310;1751;3927
6314;1740;3920
6317;1739;3918
6321;1735;3917
6324;1736;3916
6328;1725;3915
6332;1725;3915
6335;1726;3913
6339;1723;3911
6342;1722;3903
6346;1724;3901
6349;1724;3901
6353;1719;3899
6356;1710;3897
6360;1707;3895
6364;1691;3886
6367;1688;3884
6371;1680;3882
6374;1676;3881
6378;1674;3880
6381;1673;3870
6385;1678;3868
6388;1676;3865
6392;1674;3864
6396;1676;3853
6399;1664;3849
6403;1661;3840
6406;1655;3838
6410;1657;3835
6413;1643;3824
6417;1659;3820
6421;1645;3817
6424;1609;3804
6428;1607;3800
6431;1592;3789
6435;1581;3784
6438;1565;3772
6442;1548;3759
6445;1528;3752
6449;1511;3751
6453;1485;3737
6456;1454;3725
6460;1448;3719
6463;1419;3707
6467;1402;3695
6470;1388;3689
6474;1351;3673
6477;1320;3660
6481;1295;3642
6485;1293;3625
6488;1292;3599
6492;1294;3578
6495;1292;3549
6499;1292;3516
6502;1292;3495
6506;1291;3465
6509;1289;3423
6513;1290;3391
6517;1288;3352
6520;1286;3295
6524;1277;3243
6527;1277;3164
6531;1274;3086
6534;1272;3000
6538;1260;2891
6542;1258;2784
6545;1256;2653
6549;1244;2505
6552;1240;2348
6556;1227;2136
6559;1213;1914
6563;1209;1710
6566;1194;1481
6570;1178;1260
6574;1163;1038
6577;1150;717
6581;1148;425
6584;1160;239
6588;1164;170
6591;1177;94
6595;1168;71
6598;1165;55
6602;1165;39
6606;1164;25
6609;1162;25
6613;1160;24
6616;1159;23
6620;1151;22
6623;1151;22
6627;1152;20
6630;1149;19
6634;1149;19
6638;1149;18
6641;1146;18
6645;1147;20
6648;1147;19
6652;1147;19
6655;1147;18
6659;1146;19
6663;1146;20
6666;1147;18
6670;1145;20
6673;1145;19
6677;1145;20
6680;1145;19
6684;1145;18
6687;1145;19
6691;1135;20
6695;1144;17
6698;1136;19
6702;1142;20
6705;1136;19
6709;1143;20
6712;1134;20
6716;1133;21
6719;1133;20
6723;1134;19
6727;1133;19
6730;1134;19
6734;1132;20
6737;1130;20
6741;1131;19
6744;1130;19
6748;1131;20
6751;1130;20
6755;1131;19
6759;1130;21
6762;1129;19
6766;1130;20
6769;1129;20
6773;1130;20
6776;1129;19
6780;1128;19
6784;1129;18
6787;1128;20
6791;1129;18
6794;1127;20
6798;1119;20
6801;1127;18
6805;1119;20
6808;1119;20
6812;1119;19
6816;1119;19
6819;1125;19
6823;1118;21
6826;1116;18
6830;1117;19
6833;1117;18
6837;1117;20
6840;1116;20
6844;1115;20
6848;1116;20
6851;1115;20
6855;1115;20
6858;1115;20
6862;1116;20
6865;1115;19
6869;1115;19
6872;1114;20
6876;1115;19
6880;1112;21
6883;1113;19
6887;1113;19
6890;1111;20
6894;1112;19
6897;1113;19
6901;1113;20
6904;1112;20
6908;1112;20
6912;1110;20
6915;1112;18
6919;1109;20
6922;1110;20
6926;1110;19
6929;1102;20
6933;1102;19
6937;1104;19
6940;1102;18
6944;1102;18
6947;1099;20
6951;1101;19
6954;1101;19
6958;1101;21
6961;1100;20
6965;1101;20
6969;1101;19
6972;1100;20
6976;1100;19
6979;1099;18
6983;1100;19
6986;1101;19
6990;1099;20
6993;1099;20
6997;1100;19
7001;1101;20
7004;1100;20
7008;1100;20
7011;1099;19
7015;1100;19
7018;1099;20
7022;1100;20
7025;1099;21
7029;1099;21
7033;1100;21
7036;1094;24
7040;1068;80
7043;1066;107
7047;1055;126
7050;1051;269
7054;1056;733
7058;1067;1214
7061;1082;1671
7065;1084;2029
7068;1087;2444
7072;1098;2778
7075;1101;3006
7079;1101;3197
7082;1099;3321
7086;1098;3405
7090;1098;3464
7093;1099;3486
7097;1100;3502
7100;1100;3528
7104;1103;3550
7107;1114;3581
7111;1115;3592
7114;1115;3597
7118;1129;3598
7122;1131;3609
7125;1143;3614
7129;1148;3624
7132;1160;3630
7136;1163;3648
7139;1166;3664
7143;1176;3673
7146;1177;3688
7150;1183;3689
7154;1195;3692
7157;1198;3704
7161;1208;3709
7164;1210;3710
7168;1213;3726
7171;1225;3742
7175;1241;3756
7179;1390;3775
7182;1499;3800
7186;1623;3806
7189;1722;3820
7193;1818;3834
7196;1913;3839
7200;2026;3851
7203;2110;3864
7207;2171;3865
7211;2252;3882
7214;2313;3887
7218;2366;3899
7221;2429;3903
7225;2508;3916
7228;2552;3928
7232;2603;3934
7235;2648;3947
7239;2688;3951
7243;2728;3961
7246;2765;3964
7250;2799;3966
7253;2829;3979
7257;2861;3983
7260;2879;3991
7264;2909;3994
7267;2936;3995
7271;2956;3998
7275;2984;3999
7278;2991;4000
7282;3006;4008
7285;3033;4008
7289;3049;4009
7292;3072;4009
7296;3088;4009
7300;3112;4010
7303;3128;4009
7307;3134;4008
7310;3150;4007
7314;3168;3998
7317;3182;3997
7321;3197;3995
7324;3208;3995
7328;3224;3992
7332;3240;3992
7335;3245;3980
7339;3271;3977
7342;3278;3967
7346;3291;3964
7349;3307;3961
7353;3319;3948
7356;3325;3944
7360;3340;3932
7364;3353;3930
7367;3358;3917
7371;3372;3912
7374;3374;3895
7378;3388;3881
7381;3400;3868
7385;3406;3854
7388;3416;3837
7392;3420;3822
7396;3432;3805
7399;3436;3788
7403;3449;3771
7406;3456;3754
7410;3466;3740
7413;3470;3725
7417;3483;3711
7421;3496;3704
7424;3500;3690
7428;3511;3678
7431;3514;3673
7435;3527;3660
7438;3532;3648
7442;3548;3643
7445;3552;3631
7449;3566;3627
7453;3578;3625
7456;3583;3616
7460;3596;3615
7463;3598;3616
7467;3608;3614
7470;3610;3613
7474;3614;3614
7477;3616;3615
7481;3629;3615
7485;3640;3624
7488;3643;3624
7492;3646;3625
7495;3655;3625
7499;3658;3625
7502;3671;3625
7506;3673;3624
7509;3678;3624
7513;3680;3614
7517;3690;3616
7520;3693;3611
7524;3707;3610
7527;3708;3608
7531;3721;3598
7534;3723;3593
7538;3736;3581
7541;3739;3578
7545;3743;3576
7549;3753;3564
7552;3758;3561
7556;3768;3547
7559;3772;3534
7563;3785;3532
7566;3786;3527
7570;3789;3515
7574;3801;3511
7577;3805;3500
7581;3816;3496
7584;3818;3484
7588;3822;3480
7591;3834;3468
7595;3838;3464
7598;3847;3452
7602;3852;3439
7606;3854;3432
7609;3864;3421
7613;3868;3403
7616;3879;3388
7620;3884;3374
7623;3886;3356
7627;3897;3338
7630;3900;3320
7634;3902;3289
7638;3914;3260
7641;3928;3228
7645;3929;3209
7648;3933;3166
7652;3944;3130
7655;3948;3101
7659;3951;3065
7662;3962;3036
7666;3964;2988
7670;3975;2983
7673;3977;2927
7677;3980;2879
7680;3984;2825
7684;3994;2764
7687;3997;2684
7691;4008;2601
7695;4010;2525
7698;4013;2476
7702;4024;2382
7705;4027;2317
7709;4032;2255
7712;4040;2173
7716;4045;2089
7719;4055;2015
7723;4059;1912
7727;4060;1737
7730;4061;1513
7734;4064;1338
7737;4074;1180
7741;4074;983
7744;4075;704
7748;4078;667
7751;4087;664
7755;4090;651
7759;4092;648
7762;4094;635
7766;4095;631
7769;4095;617
7773;4095;602
7776;4095;586
7780;4095;560
7783;4095;528
7787;4095;479
