Column1;Column2;Column3
SW[1.000000] HW[1.100000] Date[1970-01-01 00:00:00];;
Timestamp; FSR1; FSR2
5450;1679;3887
5450;1688;3887
5451;1688;3887
5451;1688;3887
5454;1692;3886
5457;1704;3887
5461;1704;3886
5464;1708;3885
5468;1709;3885
5471;1711;3885
5475;1719;3884
5478;1720;3884
5482;1720;3884
5486;1711;3883
5489;1720;3883
5493;1721;3882
5496;1718;3881
5500;1719;3881
5503;1712;3880
5507;1719;3881
5510;1711;3881
5514;1709;3880
5518;1709;3880
5521;1706;3881
5525;1707;3880
5528;1705;3880
5532;1705;3880
5535;1704;3879
5539;1695;3871
5543;1694;3870
5546;1693;3870
5550;1692;3870
5553;1693;3869
5557;1693;3869
5560;1693;3870
5564;1693;3869
5567;1695;3869
5571;1703;3870
5575;1696;3869
5578;1705;3869
5582;1706;3869
5585;1704;3868
5589;1706;3870
5592;1706;3869
5596;1707;3868
5599;1707;3867
5603;1709;3867
5607;1710;3867
5610;1721;3867
5614;1722;3867
5617;1722;3865
5621;1722;3865
5624;1725;3866
5628;1726;3865
5631;1737;3865
5635;1736;3866
5639;1737;3866
5642;1740;3863
5646;1740;3865
5649;1744;3864
5653;1754;3864
5656;1754;3855
5660;1757;3863
5664;1771;3855
5667;1771;3862
5671;1772;3863
5674;1784;3855
5678;1784;3856
5681;1785;3854
5685;1785;3856
5688;1785;3855
5692;1786;3854
5696;1787;3853
5699;1789;3854
5703;1789;3854
5706;1790;3854
5710;1791;3854
5713;1790;3854
5717;1791;3855
5720;1799;3854
5724;1799;3854
5728;1798;3854
5731;1800;3855
5735;1792;3853
5738;1790;3855
5742;1789;3862
5745;1790;3855
5749;1789;3854
5752;1788;3856
5756;1789;3855
5760;1790;3864
5763;1799;3865
5767;1791;3863
5770;1791;3865
5774;1789;3864
5777;1788;3864
5781;1787;3864
5785;1786;3865
5788;1787;3864
5792;1786;3864
5795;1785;3865
5799;1785;3864
5802;1784;3863
5806;1776;3865
5809;1773;3865
5813;1772;3865
5817;1771;3867
5820;1771;3866
5824;1772;3866
5827;1770;3865
5831;1772;3866
5834;1772;3867
5838;1775;3868
5841;1783;3865
5845;1784;3866
5849;1784;3866
5852;1785;3866
5856;1787;3866
5859;1788;3866
5863;1788;3866
5866;1789;3866
5870;1790;3867
5873;1792;3866
5877;1804;3866
5881;1808;3867
5884;1816;3866
5888;1807;3866
5891;1817;3866
5895;1803;3868
5898;1801;3866
5902;1801;3867
5905;1807;3867
5909;1806;3868
5913;1807;3867
5916;1815;3868
5920;1818;3869
5923;1819;3869
5927;1820;3868
5930;1822;3869
5934;1821;3869
5938;1822;3871
5941;1832;3870
5945;1822;3871
5948;1832;3881
5952;1831;3880
5955;1820;3872
5959;1819;3881
5962;1819;3880
5966;1820;3880
5970;1832;3881
5973;1834;3881
5977;1833;3883
5980;1832;3882
5984;1832;3881
5987;1832;3882
5991;1833;3882
5994;1835;3883
5998;1835;3882
6002;1838;3882
6005;1836;3882
6009;1838;3881
6012;1849;3881
6016;1851;3880
6019;1851;3880
6023;1852;3880
6026;1855;3880
6030;1856;3872
6034;1867;3871
6037;1870;3869
6041;1882;3868
6044;1886;3866
6048;1896;3866
6051;1899;3866
6055;1902;3864
6059;1912;3863
6062;1912;3855
6066;1915;3853
6069;1919;3854
6073;1928;3852
6076;1928;3852
6080;1928;3851
6083;1927;3850
6087;1931;3850
6091;1930;3850
6094;1930;3850
6098;1932;3850
6101;1933;3849
6105;1931;3848
6108;1931;3848
6112;1933;3849
6115;1933;3848
6119;1931;3840
6123;1930;3848
6126;1931;3848
6130;1932;3848
6133;1933;3838
6137;1933;3838
6140;1933;3836
6144;1936;3837
6147;1943;3835
6151;1946;3833
6155;1945;3833
6158;1947;3832
6162;1946;3830
6165;1949;3822
6169;1949;3820
6172;1949;3818
6176;1950;3817
6180;1950;3808
6183;1949;3806
6187;1950;3805
6190;1948;3802
6194;1950;3801
6197;1949;3799
6201;1949;3791
6204;1948;3788
6208;1948;3786
6212;1951;3786
6215;1948;3785
6219;1948;3784
6222;1948;3782
6226;1944;3775
6229;1946;3774
6233;1945;3774
6236;1948;3773
6240;1943;3773
6244;1943;3773
6247;1934;3772
6251;1931;3772
6254;1929;3772
6258;1929;3773
6261;1927;3772
6265;1917;3772
6268;1912;3772
6272;1903;3772
6276;1886;3773
6279;1870;3774
6283;1854;3775
6286;1850;3775
6290;1838;3775
6293;1833;3783
6297;1832;3776
6301;1821;3783
6304;1820;3774
6308;1818;3783
6311;1815;3783
6315;1817;3776
6318;1817;3784
6322;1816;3784
6325;1817;3784
6329;1817;3785
6333;1807;3785
6336;1802;3787
6340;1791;3787
6343;1791;3789
6347;1790;3788
6350;1786;3788
6354;1774;3789
6357;1772;3790
6361;1769;3788
6365;1756;3791
6368;1754;3789
6372;1743;3799
6375;1736;3799
6379;1721;3800
6382;1707;3800
6386;1706;3799
6389;1694;3801
6393;1692;3802
6397;1688;3800
6400;1676;3803
6404;1662;3801
6407;1656;3802
6411;1657;3802
6414;1646;3800
6418;1645;3801
6422;1641;3800
6425;1632;3800
6429;1626;3800
6432;1625;3792
6436;1613;3792
6439;1611;3800
6443;1611;3790
6446;1599;3790
6450;1608;3789
6454;1608;3789
6457;1599;3786
6461;1608;3786
6464;1610;3785
6468;1614;3784
6471;1613;3784
6475;1612;3773
6478;1614;3773
6482;1616;3771
6486;1623;3769
6489;1616;3759
6493;1614;3754
6496;1615;3754
6500;1611;3743
6503;1608;3739
6507;1596;3737
6510;1581;3727
6514;1580;3725
6518;1578;3722
6521;1567;3719
6525;1560;3707
6528;1547;3705
6532;1530;3694
6535;1517;3688
6539;1498;3688
6542;1480;3675
6546;1466;3672
6550;1449;3660
6553;1436;3656
6557;1422;3642
6560;1404;3630
6564;1373;3626
6567;1353;3611
6571;1326;3599
6575;1311;3595
6578;1306;3579
6582;1303;3575
6585;1292;3560
6589;1286;3547
6592;1277;3532
6596;1274;3520
6599;1272;3503
6603;1271;3486
6607;1264;3469
6610;1275;3451
6614;1273;3436
6617;1276;3420
6621;1278;3401
6624;1278;3374
6628;1289;3353
6631;1289;3325
6635;1289;3293
6639;1289;3263
6642;1288;3240
6646;1291;3208
6649;1286;3181
6653;1287;3160
6656;1278;3128
6660;1274;3088
6663;1273;3052
6667;1278;3018
6671;1286;2986
6674;1276;2940
6678;1271;2908
6681;1275;2872
6685;1276;2839
6688;1274;2797
6692;1259;2764
6696;1259;2716
6699;1260;2679
6703;1259;2631
6706;1247;2576
6710;1213;2525
6713;1179;2463
6717;1133;2399
6720;1114;2344
6724;1101;2283
6728;1097;2219
6731;1088;2152
6735;1086;2064
6738;1083;1980
6742;1080;1868
6745;1069;1785
6749;1066;1687
6752;1064;1579
6756;1052;1451
6760;1049;1323
6763;1040;1240
6767;1036;1119
6770;1024;1004
6774;1022;940
6777;1019;859
6781;1018;777
6784;1016;744
6788;1016;684
6792;1005;635
6795;1004;620
6799;1004;606
6802;1003;600
6806;1003;587
6809;1003;575
6813;1002;568
6817;1000;554
6820;1000;539
6824;1000;523
6827;992;504
6831;998;487
6834;991;462
6838;989;443
6841;989;415
6845;987;396
6849;986;379
6852;984;363
6856;984;349
6859;983;333
6863;984;319
6866;985;301
6870;985;287
6873;988;271
6877;986;255
6881;988;240
6884;988;233
6888;990;221
6891;989;218
6895;990;218
6898;989;207
6902;990;202
6905;998;187
6909;991;188
6913;989;189
6916;989;190
6920;990;189
6923;988;191
6927;988;186
6930;988;188
6934;988;189
6938;988;189
6941;989;188
6945;988;188
6948;988;187
6952;988;188
6955;988;188
6959;987;190
6962;987;187
6966;987;189
6970;987;188
6973;986;186
6977;987;187
6980;987;187
6984;987;187
6987;987;187
6991;987;185
6994;986;187
6998;985;186
7002;986;184
7005;985;184
7009;986;183
7012;986;183
7016;986;182
7019;986;183
7023;985;174
7026;986;175
7030;985;174
7034;986;174
7037;985;175
7041;984;174
7044;985;173
7048;984;173
7051;985;175
7055;984;174
7059;984;174
7062;986;172
7066;984;173
7069;984;173
7073;985;172
7076;983;173
7080;984;174
7083;975;181
7087;984;172
7091;985;174
7094;984;173
7098;984;174
7101;983;173
7105;983;171
7108;983;174
7112;976;172
7115;983;173
7119;983;173
7123;983;172
7126;984;172
7130;982;172
7133;975;172
7137;975;171
7140;983;172
7144;983;172
7147;976;172
7151;983;172
7155;976;172
7158;975;172
7162;983;171
7165;975;172
7169;974;172
7172;983;172
7176;976;173
7180;975;172
7183;982;171
7187;975;171
7190;976;172
7194;984;173
7197;976;172
7201;975;173
7204;975;172
7208;974;172
7212;974;173
7215;975;173
7219;975;174
7222;974;172
7226;974;173
7229;975;174
7233;981;175
7236;974;172
7240;974;174
7244;975;173
7247;975;181
7251;974;182
7254;974;175
7258;975;182
7261;973;182
7265;974;174
7268;974;176
7272;972;184
7276;974;176
7279;975;183
7283;974;176
7286;973;183
7290;974;184
7293;973;183
7297;973;185
7300;972;184
7304;972;186
7308;972;184
7311;973;184
7315;972;185
7318;973;184
7322;973;186
7325;972;186
7329;973;186
7333;972;185
7336;972;185
7340;971;186
7343;973;185
7347;972;186
7350;972;187
7354;973;186
7357;972;187
7361;973;186
7365;973;187
7368;972;186
7372;973;187
7375;972;186
7379;972;186
7382;970;188
7386;973;187
7389;973;188
7393;971;188
7397;972;188
7400;971;187
7404;973;189
7407;971;189
7411;972;189
7414;971;191
7418;971;191
7421;971;191
7425;971;190
7429;971;190
7432;970;199
7436;970;198
7439;970;192
7443;969;191
7446;970;191
7450;973;201
7454;970;199
7457;970;201
7461;971;200
7464;969;200
7468;971;200
7471;970;200
7475;969;200
7478;970;201
7482;971;201
7486;970;202
7489;970;201
7493;970;200
7496;970;201
7500;971;201
7503;970;202
7507;970;203
7510;970;202
7514;969;202
7518;968;205
7521;969;205
7525;968;204
7528;970;205
7532;969;207
7535;969;212
7539;969;216
7542;968;207
7546;968;206
7550;969;208
7553;967;208
7557;968;207
7560;968;208
7564;968;217
7567;969;217
7571;968;218
7575;968;217
7578;967;218
7582;968;218
7585;968;219
7589;967;218
7592;966;219
7596;967;219
7599;968;218
7603;969;219
7607;967;219
7610;966;218
7614;967;218
