time_s,L1_heel,L2_lateral_forefoot,L3_medial_forefoot,R1_heel,R2_lateral_forefoot,R3_medial_forefoot
0.0,0.0,6.3,0.0,0.5,3.2,0.3
0.01,0.0,0.0,0.0,4.9,0.0,0.0
0.02,0.7,0.0,2.3,0.0,0.0,0.0
0.03,2.3,1.9,0.0,3.1,0.0,5.0
0.04,2.8,10.1,10.1,0.2,8.7,4.3
0.05,3.2,5.9,3.5,6.0,6.7,0.0
0.06,0.0,4.5,5.2,5.2,2.8,0.0
0.07,0.0,0.0,3.2,0.8,1.4,0.0
0.08,3.4,0.0,7.4,0.0,0.0,0.0
0.09,0.0,3.2,0.0,2.0,0.6,0.0
0.1,0.0,0.0,0.0,0.0,0.0,0.0
0.11,0.0,0.0,0.0,6.7,0.0,0.0
0.12,0.0,0.0,2.2,0.3,0.6,0.0
0.13,2.0,6.4,0.6,0.0,0.0,0.7
0.14,0.6,0.0,1.1,0.0,3.5,4.7
0.15,2.8,0.0,5.3,0.0,0.0,3.4
0.16,0.0,2.0,1.5,2.2,0.3,0.0
0.17,0.6,0.0,3.2,0.0,0.0,0.0
0.18,2.5,0.2,0.0,4.4,0.0,2.9
0.19,0.0,0.0,0.0,0.0,1.2,0.6
0.2,1.8,0.0,6.5,0.5,0.0,1.7
0.21,31.2,3.2,0.4,4.6,0.7,7.7
0.22,94.5,0.0,0.0,0.0,0.0,0.0
0.23,155.6,0.0,0.0,8.1,0.0,0.0
0.24,212.0,2.7,0.0,0.0,0.0,0.0
0.25,276.4,0.0,0.0,0.6,0.0,1.9
0.26,327.6,0.0,0.0,2.3,0.0,0.1
0.27,381.5,2.7,0.0,2.9,0.0,0.0
0.28,431.7,4.5,0.0,1.1,0.0,0.0
0.29,475.9,0.0,0.0,4.0,0.0,0.0
0.3,516.7,0.0,4.4,2.1,6.4,0.0
0.31,548.7,2.8,1.2,7.0,1.7,2.1
0.32,577.2,0.0,1.1,2.1,0.0,0.0
0.33,603.1,1.2,0.0,7.9,0.6,0.0
0.34,615.4,0.0,0.0,3.6,0.0,0.0
0.35,629.3,0.0,1.4,0.0,0.0,1.1
0.36,636.7,0.0,2.9,10.4,0.0,0.2
0.37,638.9,0.0,0.0,0.0,0.0,0.8
0.38,639.3,0.0,4.3,6.0,1.5,0.7
0.39,623.0,2.4,0.0,0.1,0.0,0.0
0.4,608.1,0.0,3.2,4.2,0.0,0.0
0.41,592.0,3.9,0.0,0.0,0.0,0.0
0.42,557.1,39.3,0.0,2.5,11.8,0.0
0.43,527.9,76.0,8.6,0.0,0.0,8.3
0.44,482.8,115.4,55.0,6.3,0.0,0.0
0.45,442.6,151.5,98.6,1.8,0.0,0.0
0.46,392.5,197.4,141.4,3.7,3.0,0.4
0.47,344.0,231.7,180.7,0.0,5.3,0.0
0.48,294.5,258.9,220.0,0.0,0.0,4.3
0.49,227.3,299.8,264.8,1.6,5.1,0.0
0.5,176.8,329.8,301.8,0.9,3.0,0.0
0.51,115.2,368.9,333.1,3.8,0.0,3.3
0.52,50.1,382.6,372.6,0.0,0.0,7.2
0.53,0.0,407.7,394.7,0.2,0.7,5.6
0.54,0.3,439.3,423.0,4.7,3.5,0.0
0.55,0.0,458.7,455.8,0.0,1.6,0.0
0.56,0.9,465.7,473.4,2.4,0.0,0.2
0.57,0.1,478.4,485.6,0.0,0.0,0.6
0.58,6.4,492.4,501.7,0.0,7.9,0.0
0.59,0.0,486.3,511.1,1.3,1.0,3.7
0.6,0.0,490.5,505.5,4.9,3.5,0.8
0.61,0.7,495.8,515.1,4.2,2.2,0.0
0.62,0.9,498.8,516.9,0.0,1.1,0.0
0.63,5.4,483.2,510.3,3.5,0.4,0.2
0.64,3.3,474.4,503.5,3.5,3.6,0.0
0.65,1.4,464.4,494.1,0.0,2.9,0.0
0.66,5.9,451.1,471.7,0.0,1.1,0.0
0.67,0.0,420.1,448.7,0.0,0.0,1.1
0.68,0.0,399.3,430.9,3.4,1.5,7.5
0.69,0.0,381.0,401.7,0.0,0.0,2.3
0.7,0.0,339.3,372.8,0.0,0.0,5.8
0.71,0.0,318.9,339.9,0.0,10.7,2.6
0.72,2.5,278.1,315.2,31.1,0.0,4.5
0.73,0.0,247.9,260.1,77.5,3.8,7.4
0.74,0.0,210.3,228.4,132.4,0.0,0.0
0.75,0.0,169.7,189.1,186.4,0.5,0.0
0.76,1.3,130.8,143.8,225.3,10.3,2.7
0.77,3.4,96.1,107.2,277.8,0.0,0.0
0.78,8.0,58.5,62.8,322.7,0.0,0.9
0.79,11.7,13.3,14.9,368.0,0.0,0.0
0.8,1.7,0.3,0.0,411.9,0.0,0.0
0.81,0.0,2.3,0.0,439.1,3.5,6.5
0.82,0.0,0.0,0.0,480.9,0.0,0.0
0.83,1.1,3.0,0.0,513.6,2.6,2.7
0.84,0.0,3.3,0.0,535.9,0.0,2.1
0.85,0.0,10.4,1.0,559.3,0.0,0.0
0.86,0.0,0.0,3.0,580.8,0.0,0.0
0.87,0.0,0.0,0.0,595.5,0.0,0.0
0.88,4.3,3.1,0.0,607.2,6.1,2.3
0.89,0.6,3.3,0.0,613.5,0.0,0.0
0.9,0.0,0.0,3.5,609.2,0.0,0.0
0.91,0.0,0.0,1.0,614.6,1.7,0.0
0.92,0.0,2.2,2.0,608.4,0.0,9.3
0.93,0.0,0.0,0.0,593.3,0.0,0.3
0.94,0.0,0.0,7.1,571.0,8.2,2.0
0.95,7.1,0.4,0.0,556.8,0.0,0.0
0.96,0.5,4.0,0.7,534.3,34.1,0.0
0.97,3.9,0.0,3.4,501.3,68.0,8.0
0.98,0.0,0.0,0.0,473.2,105.3,29.9
0.99,0.0,0.0,0.0,434.3,137.4,75.7
1.0,0.0,0.0,0.7,404.5,164.6,106.4
1.01,0.0,0.0,11.4,362.0,198.1,145.6
1.02,8.5,0.0,1.2,311.4,228.9,179.9
1.03,0.0,0.0,6.4,273.7,262.1,212.6
1.04,3.4,0.0,4.8,224.4,282.3,249.6
1.05,0.0,0.0,1.5,177.4,321.5,270.6
1.06,3.7,0.0,0.0,123.2,335.2,309.5
1.07,1.5,5.3,4.2,70.2,361.3,338.5
1.08,0.0,2.6,0.0,18.3,377.9,359.6
1.09,0.0,0.1,6.4,0.0,396.6,395.2
1.1,0.0,0.0,0.8,0.1,415.4,408.7
1.11,1.8,0.0,0.0,0.6,430.0,429.6
1.12,0.0,1.3,0.0,0.0,444.9,445.3
1.13,0.0,2.3,2.6,0.0,453.1,461.9
1.14,0.0,0.0,0.0,0.0,467.8,479.4
1.15,0.7,0.1,2.9,10.0,467.6,493.3
1.16,6.3,0.0,0.0,0.0,470.3,492.8
1.17,0.6,0.8,0.0,0.0,473.1,497.9
1.18,0.0,3.0,0.0,13.2,476.9,501.3
1.19,1.1,0.0,0.1,1.7,469.7,493.5
1.2,5.2,7.3,0.0,0.0,461.8,494.1
1.21,0.9,0.0,4.9,3.4,447.5,483.4
1.22,0.0,0.9,0.0,0.0,437.4,470.6
1.23,4.4,0.0,1.3,3.6,423.2,458.5
1.24,1.7,0.0,0.3,0.0,417.8,434.3
1.25,6.1,0.0,0.0,0.0,396.7,424.8
1.26,0.7,0.4,0.0,6.4,371.1,397.0
1.27,0.0,3.4,0.0,2.3,350.4,373.9
1.28,0.0,5.5,7.9,3.9,325.6,356.3
1.29,6.6,0.0,2.3,1.7,299.9,324.2
1.3,6.9,3.3,0.0,0.0,278.2,299.8
1.31,0.0,0.0,0.0,2.4,246.8,269.9
1.32,33.2,3.1,2.9,4.8,226.5,238.1
1.33,99.1,0.0,0.0,0.5,192.3,200.4
1.34,146.5,4.4,4.6,7.2,160.7,173.0
1.35,203.4,8.8,0.0,3.4,125.5,133.6
1.36,263.5,0.0,1.4,0.8,87.8,99.5
1.37,310.5,0.0,3.4,1.0,58.2,56.1
1.38,360.1,0.0,0.0,0.5,20.3,23.0
1.39,403.7,4.9,0.0,0.0,6.5,4.4
1.4,445.8,2.2,0.1,0.0,1.6,3.9
1.41,485.6,1.0,2.2,0.9,1.0,0.0
1.42,510.8,4.0,0.0,0.0,0.5,0.0
1.43,538.3,1.9,3.9,1.4,7.0,0.0
1.44,547.2,4.9,0.0,0.1,0.0,0.0
