time_s,L1_heel,L2_lateral_forefoot,L3_medial_forefoot,R1_heel,R2_lateral_forefoot,R3_medial_forefoot,L_ax,L_ay,L_az,L_gx,L_gy,L_gz,R_ax,R_ay,R_az,R_gx,R_gy,R_gz
0.0,0.0,0.776,2.0,4.0,0.776,0.0,0.0399,0.0013,0.9922,33.43,0.51,-1.11,0.0363,0.0023,0.9774,-34.82,1.17,0.17
0.01,0.381,0.913,2.163,3.666,0.638,0.0,0.0335,0.0017,1.0011,33.48,-0.06,-0.63,0.0355,0.0057,1.0121,-33.68,-1.88,1.46
0.02,0.76,1.048,2.32,3.323,0.497,0.0,0.0414,0.0132,0.9939,36.08,-1.4,-0.94,0.043,-0.0057,1.0012,-33.74,-0.33,-0.61
0.03,1.139,1.181,2.473,2.973,0.356,0.0,0.0501,0.0233,0.9965,33.75,-0.71,-0.55,0.0265,-0.0195,0.9954,-33.71,-0.04,0.11
0.04,1.514,1.311,2.619,2.617,0.214,0.0,0.0326,0.0242,1.0158,34.15,-0.26,-0.21,0.0175,-0.0102,1.0077,-32.43,0.02,0.75
0.05,1.886,1.438,2.76,2.254,0.071,0.0,0.0326,0.0299,1.0124,32.07,-1.6,0.84,0.0365,-0.0531,1.0142,-33.53,0.18,-1.32
0.06,2.254,1.561,2.895,1.886,0.0,0.0,0.0507,0.0282,0.9858,31.48,-0.74,-0.32,0.0377,-0.0147,0.9708,-32.84,0.61,3.1
0.07,2.617,1.682,3.023,1.514,0.0,0.0,0.0426,0.0341,1.0069,32.63,0.65,-1.59,0.0498,-0.0578,1.0029,-31.56,-0.04,0.03
0.08,2.973,1.798,3.144,1.139,0.0,0.0,0.0302,0.0322,1.0064,29.39,1.43,1.14,0.0222,-0.0525,0.9841,-31.38,-0.37,0.14
0.09,3.323,1.91,3.258,0.76,0.0,0.0,0.0403,0.069,0.9866,29.41,-0.42,-0.84,0.0464,-0.0519,1.0031,-29.32,-0.41,1.26
0.1,3.666,2.018,3.365,0.381,0.0,0.0,0.0303,0.0441,1.006,28.85,0.76,-0.06,0.0586,-0.0581,0.9991,93.91,-0.61,-99.09
0.11,4.0,2.121,3.464,0.0,0.0,0.0,0.0302,0.0546,1.0129,27.82,-1.91,0.45,-0.0038,-0.0084,1.0062,105.45,0.79,24.88
0.12,4.325,2.22,3.555,0.0,0.0,0.0,0.0373,0.0591,0.986,26.34,0.66,0.2,0.0307,-0.0305,0.9939,-8.06,-0.65,249.18
0.13,4.64,2.313,3.639,0.0,0.0,0.0,0.0158,0.0797,0.9877,25.63,-0.8,1.09,0.0828,-0.0186,0.9773,-7.36,0.85,245.64
0.14,4.945,2.402,3.713,0.0,0.0,0.0,0.0177,0.0721,1.0068,24.57,0.31,0.48,0.1296,-0.0283,0.9868,-7.62,0.02,243.42
0.15,5.239,2.484,3.78,0.0,0.0,0.0,0.0293,0.0915,0.999,23.17,-0.25,-0.86,0.1769,-0.0208,0.989,-7.07,-0.52,240.09
