time_s,L1_heel,L2_lateral_forefoot,L3_medial_forefoot,R1_heel,R2_lateral_forefoot,R3_medial_forefoot
0.0,0.8,0.0,0.0,0.0,0.0,9.2
0.01,3.6,0.0,0.0,0.0,0.0,5.7
0.02,0.0,3.0,2.4,0.6,0.0,0.6
0.03,2.2,0.0,5.0,0.0,6.8,0.0
0.04,1.6,1.6,0.0,0.0,0.0,0.0
0.05,0.0,0.0,9.0,0.0,0.0,2.8
0.06,0.5,0.3,0.7,0.9,0.0,5.1
0.07,5.4,2.0,1.7,5.1,0.2,1.6
0.08,0.0,1.1,0.0,0.1,0.6,0.0
0.09,3.1,0.0,4.5,0.0,1.8,0.6
0.1,0.0,1.3,0.0,0.0,0.9,0.0
0.11,0.0,0.9,0.0,1.8,2.6,0.6
0.12,4.8,0.0,0.0,0.1,0.0,7.8
0.13,0.0,0.0,5.5,0.0,8.3,3.2
0.14,0.0,7.5,1.9,4.7,0.0,2.3
0.15,9.4,0.0,0.0,0.0,5.4,0.0
0.16,4.1,5.5,0.0,0.0,0.0,1.7
0.17,0.0,0.0,5.6,0.0,0.0,0.0
0.18,0.0,3.2,0.0,0.0,0.0,2.2
0.19,0.0,7.1,2.2,2.2,1.2,0.0
0.2,5.2,0.0,3.2,1.9,4.6,0.0
0.21,53.5,22.9,12.9,4.2,0.0,3.3
0.22,111.0,49.6,58.5,2.0,0.0,0.0
0.23,174.7,76.9,76.7,0.0,1.5,0.0
0.24,220.2,103.7,105.1,0.0,0.0,2.5
0.25,276.1,127.4,138.8,1.8,0.0,4.9
0.26,329.6,150.6,164.2,0.0,0.0,1.9
0.27,376.9,184.5,185.7,0.2,1.2,0.0
0.28,415.1,199.7,211.4,2.0,2.6,0.0
0.29,461.5,221.3,236.6,0.6,2.0,1.2
0.3,497.5,249.7,261.9,1.2,0.1,6.2
0.31,523.2,271.7,285.2,0.0,0.0,3.7
0.32,558.0,295.1,301.4,5.4,1.3,3.7
0.33,573.1,317.4,319.2,0.0,1.0,0.3
0.34,582.6,330.5,341.3,1.8,0.0,0.0
0.35,602.5,346.5,362.1,0.0,0.0,0.0
0.36,597.7,357.5,379.5,4.3,1.5,0.0
0.37,598.6,377.8,392.8,3.5,0.0,2.8
0.38,588.3,397.8,414.6,0.0,0.0,0.0
0.39,579.6,406.4,421.3,6.2,0.0,2.3
0.4,556.6,417.9,441.5,0.0,0.0,0.0
0.41,532.9,436.3,454.1,3.5,2.2,0.0
0.42,505.0,449.7,464.9,0.0,10.4,5.6
0.43,470.0,454.9,477.5,1.6,0.5,3.1
0.44,438.1,467.5,485.3,0.0,0.0,0.0
0.45,386.4,473.0,498.3,0.1,0.0,0.0
0.46,345.3,480.5,492.9,0.0,0.0,3.8
0.47,296.6,488.6,500.2,3.5,3.0,3.5
0.48,243.7,492.9,502.6,0.0,5.0,2.6
0.49,193.7,486.6,503.7,12.3,5.6,0.0
0.5,127.6,481.6,497.8,0.0,2.1,0.0
0.51,78.5,482.2,496.5,0.9,0.0,0.0
0.52,13.1,485.3,498.2,1.2,5.9,5.6
0.53,0.0,471.1,487.4,2.2,0.0,0.0
0.54,0.0,474.8,486.4,0.0,0.2,0.2
0.55,0.0,461.3,477.9,1.0,0.0,6.5
0.56,0.0,454.6,470.6,0.0,0.0,0.0
0.57,6.6,440.8,466.3,7.5,5.1,0.0
0.58,1.0,427.9,446.2,0.0,2.7,0.0
0.59,1.8,419.9,441.3,0.0,0.0,2.5
0.6,0.0,412.9,421.7,0.0,4.0,0.0
0.61,3.0,390.4,407.1,0.0,0.0,0.0
0.62,6.6,384.0,394.5,0.0,4.0,0.0
0.63,3.5,358.5,374.1,2.7,0.3,0.8
0.64,0.0,338.8,353.2,0.0,0.0,0.0
0.65,0.0,325.4,335.8,0.0,0.1,0.0
0.66,0.4,307.4,309.8,0.0,0.0,2.2
0.67,0.0,284.9,297.0,1.2,0.0,0.0
0.68,10.1,263.4,260.9,0.1,3.5,0.0
0.69,0.0,247.1,253.9,0.1,1.6,0.0
0.7,0.0,218.3,229.1,0.0,6.0,7.0
0.71,0.0,192.6,208.7,1.7,0.0,5.1
0.72,0.9,166.0,186.1,0.0,0.0,0.0
0.73,5.5,151.2,155.7,0.3,2.6,3.3
0.74,0.5,119.5,123.6,0.0,0.0,0.5
0.75,0.0,94.7,108.6,0.0,0.0,0.0
0.76,0.0,74.7,68.6,61.5,25.8,16.8
0.77,4.8,53.1,39.0,108.5,46.8,45.5
0.78,0.0,20.0,27.2,158.9,68.8,67.3
0.79,0.0,0.0,2.4,210.4,88.5,98.9
0.8,0.0,0.0,0.0,266.3,120.9,119.7
0.81,0.0,0.0,0.0,309.7,138.5,147.3
0.82,0.0,0.0,2.2,351.3,164.9,170.7
0.83,0.0,0.0,0.0,388.9,186.5,194.7
0.84,4.0,3.6,0.0,428.4,210.6,210.7
0.85,0.0,0.0,7.9,458.7,226.4,238.5
0.86,7.6,5.4,8.6,496.2,246.6,254.1
0.87,5.7,0.0,0.6,528.1,263.5,281.5
0.88,0.0,0.0,0.0,551.6,285.2,303.7
0.89,5.5,5.1,3.6,570.8,307.4,321.2
0.9,6.4,0.1,0.0,581.1,320.7,336.2
0.91,0.0,0.0,0.0,595.5,342.4,357.1
0.92,0.0,0.1,0.0,602.1,363.4,365.7
0.93,0.0,5.9,0.0,590.6,371.3,380.9
0.94,1.5,1.2,3.5,596.8,382.4,405.0
0.95,0.0,5.0,0.1,595.2,399.7,422.6
0.96,1.6,0.0,3.2,572.3,408.4,425.7
0.97,0.0,4.4,3.6,545.5,431.1,442.9
0.98,0.0,1.0,5.5,530.1,436.8,455.7
0.99,0.0,3.5,0.7,499.6,443.3,461.6
1.0,0.0,3.9,1.1,473.8,452.5,471.6
1.01,0.0,0.0,0.0,437.2,457.6,483.2
1.02,0.0,0.3,0.0,408.0,472.7,487.9
1.03,0.0,3.8,0.0,366.5,481.3,493.4
1.04,0.4,4.5,4.7,320.9,472.2,493.3
1.05,0.0,5.0,0.0,278.1,485.3,500.3
1.06,4.4,0.4,0.0,222.4,482.0,500.7
1.07,0.0,6.2,0.0,174.7,488.8,501.7
1.08,6.0,0.0,0.0,131.5,475.9,500.4
1.09,1.0,0.0,0.0,72.4,482.5,500.8
1.1,0.3,0.0,2.1,19.2,477.2,494.6
1.11,0.0,4.8,0.0,0.0,477.6,494.0
1.12,2.5,0.0,4.2,0.0,470.2,487.2
1.13,0.1,0.0,0.0,0.0,463.8,478.6
1.14,3.4,0.0,0.0,6.7,456.0,466.9
1.15,6.4,2.9,5.5,0.0,454.3,469.8
1.16,0.0,0.0,0.8,3.7,437.9,459.2
1.17,2.5,2.2,3.5,2.3,431.6,442.0
1.18,2.3,0.0,3.5,0.0,419.1,436.0
1.19,1.8,0.0,0.0,4.6,407.6,416.2
1.2,0.0,0.0,0.0,0.0,386.5,405.0
1.21,0.0,0.8,4.1,0.0,379.0,389.1
1.22,0.0,0.0,7.3,1.5,362.2,374.2
1.23,0.0,0.0,0.3,0.0,339.9,361.1
1.24,0.0,1.6,0.0,0.0,326.8,339.2
1.25,0.0,2.5,6.7,0.0,319.1,320.9
1.26,0.0,3.7,0.0,0.0,289.8,306.0
1.27,1.7,0.7,1.3,0.0,270.6,283.2
1.28,0.2,0.0,0.0,3.2,254.0,259.9
1.29,0.7,1.9,1.1,1.3,229.6,242.0
1.3,0.0,2.6,0.0,1.0,211.3,223.1
1.31,27.5,0.0,0.0,0.0,187.4,200.9
1.32,85.5,0.0,0.0,0.2,168.8,168.5
1.33,148.1,9.9,2.6,0.0,144.5,145.4
1.34,200.4,0.0,0.7,0.0,129.8,130.9
1.35,259.0,24.5,10.7,6.8,99.2,101.8
1.36,305.3,53.1,32.3,3.5,74.8,69.9
1.37,363.6,73.7,63.0,0.0,56.4,51.4
1.38,405.4,100.3,94.4,0.0,23.1,28.0
1.39,447.3,125.0,123.1,0.0,11.8,4.0
1.4,485.6,151.9,141.2,0.0,0.0,3.1
1.41,520.0,180.2,175.2,0.4,4.8,0.0
1.42,552.9,200.1,197.1,0.5,5.8,3.7
1.43,585.9,236.9,229.7,0.6,0.0,1.1
1.44,597.0,245.6,258.5,1.3,0.0,0.0
1.45,605.1,275.0,264.8,0.0,0.0,0.0
1.46,624.2,293.0,296.0,6.0,2.5,2.0
1.47,621.4,311.7,322.1,0.0,0.0,0.2
1.48,626.6,336.5,342.4,1.2,0.0,1.5
1.49,613.5,342.7,366.5,0.0,0.0,0.0
1.5,600.4,368.1,382.2,1.2,0.0,2.2
1.51,587.1,379.7,397.7,8.3,0.0,0.0
1.52,560.3,395.9,412.5,0.0,0.5,10.2
1.53,523.4,409.5,427.1,0.0,0.4,0.0
1.54,489.8,420.1,442.9,0.0,0.0,10.8
1.55,448.3,428.5,456.2,0.0,0.3,0.0
1.56,423.0,446.5,471.2,0.0,0.0,5.1
1.57,362.6,453.2,478.7,0.0,5.2,3.3
1.58,320.9,459.3,484.8,0.0,0.0,0.0
1.59,261.3,469.2,490.0,6.2,4.4,2.4
1.6,204.0,472.1,496.2,0.0,0.0,0.0
1.61,151.4,472.0,500.2,0.0,1.3,1.1
1.62,91.7,486.5,501.4,1.4,2.4,0.6
1.63,37.0,478.2,507.3,2.6,0.0,0.0
1.64,3.3,482.3,508.8,5.5,0.0,0.0
1.65,0.0,467.7,495.7,1.0,0.0,1.4
1.66,0.0,465.8,500.3,0.0,3.0,0.0
