time_s,L1_heel,L2_lateral_forefoot,L3_medial_forefoot,R1_heel,R2_lateral_forefoot,R3_medial_forefoot
0.0,4.4,0.0,0.0,0.0,0.2,1.2
0.01,0.3,3.7,0.0,0.0,0.0,0.0
0.02,2.4,0.0,2.3,3.0,0.0,0.0
0.03,4.9,0.0,0.0,2.7,2.6,3.6
0.04,0.0,0.0,0.0,0.0,0.0,0.6
0.05,2.5,1.9,1.5,0.2,0.0,0.0
0.06,0.0,0.0,2.4,0.0,6.7,1.9
0.07,4.1,0.0,0.0,0.0,1.5,0.0
0.08,0.0,0.0,3.9,0.0,0.0,3.4
0.09,3.7,0.5,3.8,3.8,0.0,2.0
0.1,0.0,0.7,0.0,4.8,0.0,0.0
0.11,1.6,0.1,6.6,0.0,3.2,0.0
0.12,1.1,0.0,4.7,4.5,0.0,0.0
0.13,0.0,3.2,0.8,0.0,0.0,10.4
0.14,0.0,1.5,0.0,0.0,0.0,0.0
0.15,0.0,1.3,3.2,0.0,0.0,0.0
0.16,3.7,1.5,2.1,0.0,0.0,4.4
0.17,6.0,6.4,0.0,0.0,0.8,3.5
0.18,7.8,0.0,6.4,0.5,0.3,1.4
0.19,2.1,0.0,0.0,3.1,5.7,0.0
0.2,1.0,0.0,0.0,0.0,0.2,2.2
0.21,1.8,5.0,1.8,0.5,0.0,0.0
0.22,8.9,5.3,0.0,3.9,5.5,0.0
0.23,7.8,31.1,4.7,0.0,1.2,1.6
0.24,8.9,61.3,25.4,0.0,0.5,2.0
0.25,8.0,89.3,58.9,0.0,0.0,0.0
0.26,6.5,120.7,93.3,8.0,0.3,5.1
0.27,4.8,141.0,111.3,6.0,0.0,3.3
0.28,0.0,166.1,144.5,0.0,0.0,0.0
0.29,0.0,191.0,171.1,4.7,0.0,0.0
0.3,0.0,218.4,202.0,0.0,1.1,0.0
0.31,0.0,254.7,228.8,0.0,4.2,0.0
0.32,2.4,269.9,253.6,0.0,3.6,2.5
0.33,2.7,293.9,277.3,0.0,1.8,0.0
0.34,1.1,313.8,303.2,0.0,0.0,0.0
0.35,2.0,335.8,325.8,0.0,0.0,0.0
0.36,0.5,358.9,349.0,1.7,0.0,5.4
0.37,0.0,377.6,376.5,2.6,4.0,1.0
0.38,0.0,395.1,386.3,0.0,0.0,6.3
0.39,2.8,411.1,411.9,0.0,0.0,0.0
0.4,0.0,425.8,424.8,0.0,0.0,0.0
0.41,3.4,443.9,453.3,6.4,4.8,0.0
0.42,3.6,456.2,461.4,2.5,0.1,0.0
0.43,0.0,476.9,470.2,5.7,0.0,0.0
0.44,0.0,483.7,487.1,7.1,0.2,0.0
0.45,0.0,486.5,493.6,0.0,0.5,0.0
0.46,0.0,492.9,506.8,3.3,0.0,0.0
0.47,2.5,502.9,520.2,0.0,4.8,0.1
0.48,0.0,505.7,530.1,4.1,4.7,0.0
0.49,0.0,512.3,534.3,3.3,0.1,1.3
0.5,0.0,513.0,533.3,0.0,0.0,0.0
0.51,0.0,516.7,538.2,1.6,1.0,0.0
0.52,0.0,516.5,539.8,0.0,0.0,3.7
0.53,0.0,516.6,544.7,0.0,5.4,0.0
0.54,0.0,512.0,530.7,0.0,6.0,3.4
0.55,0.0,504.6,535.1,3.6,2.6,0.0
0.56,1.8,507.0,519.1,0.0,0.0,0.7
0.57,0.0,496.2,521.0,0.0,0.0,2.1
0.58,0.0,483.6,505.1,0.0,0.0,0.0
0.59,1.4,471.9,494.7,0.0,0.0,0.0
0.6,9.7,458.0,484.6,1.6,0.0,0.0
0.61,4.3,444.8,469.6,4.8,0.7,0.0
0.62,2.7,441.0,459.9,2.1,1.8,2.3
0.63,0.0,425.2,447.3,2.3,4.9,0.0
0.64,0.0,402.4,416.9,3.0,0.0,4.6
0.65,0.0,392.5,406.2,3.3,0.0,7.0
0.66,1.0,370.7,383.0,4.1,0.0,0.0
0.67,0.0,349.1,370.3,10.0,1.1,4.8
0.68,0.9,330.9,350.6,3.2,0.0,0.0
0.69,0.0,308.1,321.4,1.1,0.0,1.5
0.7,0.0,283.6,295.6,0.0,0.0,0.0
0.71,0.0,258.6,267.3,1.2,0.0,4.9
0.72,5.0,235.0,256.2,4.6,2.6,1.4
0.73,0.6,204.1,227.5,0.0,0.0,0.0
0.74,0.0,181.9,187.5,5.0,6.0,0.0
0.75,0.0,166.3,170.7,0.0,0.0,0.0
0.76,3.6,129.4,135.8,0.0,4.7,0.0
0.77,0.0,98.5,109.9,2.1,0.0,4.9
0.78,2.1,82.5,78.3,0.0,0.0,4.3
0.79,0.0,52.6,46.5,6.3,27.5,0.0
0.8,0.7,25.3,25.3,3.5,56.6,14.8
0.81,0.1,0.0,7.6,13.3,83.7,51.6
0.82,0.0,3.6,0.0,10.0,110.4,78.0
0.83,2.3,6.1,3.6,6.5,131.8,96.6
0.84,6.1,0.0,4.2,3.3,166.1,144.1
0.85,1.5,2.5,2.9,0.0,187.0,160.3
0.86,0.4,4.5,8.0,1.8,198.1,194.4
0.87,0.0,0.0,3.8,0.0,235.0,215.1
0.88,3.8,6.0,7.2,0.0,257.6,236.6
0.89,0.0,4.5,0.0,0.0,281.5,267.2
0.9,2.2,0.0,3.0,5.5,308.2,285.6
0.91,3.0,6.4,6.0,0.0,329.1,315.2
0.92,4.0,0.0,0.0,6.5,346.6,334.9
0.93,4.0,0.0,0.0,0.0,375.9,361.1
0.94,3.9,2.7,0.0,4.9,384.5,384.7
0.95,0.0,4.2,0.0,4.2,403.0,405.6
0.96,0.0,0.4,2.2,3.8,421.8,418.4
0.97,0.0,0.0,0.0,0.2,444.7,440.4
0.98,0.0,0.0,0.0,0.0,460.1,452.7
0.99,6.1,0.0,0.0,0.0,470.0,479.5
1.0,0.0,3.4,0.0,0.0,484.3,493.1
1.01,0.0,0.0,0.0,0.0,498.9,501.6
1.02,0.0,0.0,0.0,0.0,505.8,524.7
1.03,0.0,0.0,3.3,0.0,523.1,532.4
1.04,9.0,0.0,5.5,0.0,534.8,540.3
1.05,0.0,0.0,0.0,0.0,535.1,547.6
1.06,1.8,0.0,0.9,0.5,543.3,554.4
1.07,0.0,0.0,0.0,0.0,547.1,559.8
1.08,0.0,3.9,0.0,0.0,555.5,572.2
1.09,0.0,0.0,4.1,0.7,560.0,571.8
1.1,0.0,0.0,8.0,4.1,551.5,568.3
1.11,0.0,6.3,0.0,4.2,552.6,578.0
1.12,0.0,3.4,7.3,1.2,554.0,571.4
