time_s,L1_heel,L2_lateral_forefoot,L3_medial_forefoot,R1_heel,R2_lateral_forefoot,R3_medial_forefoot
0.0,0.0,0.0,0.0,2.4,2.7,2.8
0.01,5.1,0.0,1.7,8.8,2.1,0.0
0.02,1.0,0.0,0.0,0.0,1.8,1.9
0.03,0.0,0.0,0.0,0.0,0.0,2.7
0.04,9.5,0.0,0.0,6.2,1.1,0.6
0.05,0.0,0.0,2.1,0.0,4.3,0.0
0.06,0.0,3.4,0.0,3.2,0.0,3.8
0.07,0.0,0.9,0.0,2.5,3.9,3.4
0.08,0.0,0.0,3.6,4.9,2.2,2.3
0.09,0.0,0.0,0.0,7.7,3.3,0.0
0.1,2.5,0.0,3.8,1.3,0.2,0.0
0.11,5.2,2.9,0.0,0.0,3.5,0.3
0.12,0.0,2.0,0.0,0.0,0.0,3.7
0.13,0.0,0.0,0.6,8.7,0.1,4.2
0.14,1.9,0.0,5.5,0.0,2.9,2.3
0.15,2.0,0.0,5.2,2.0,1.2,0.0
0.16,1.0,0.0,4.6,0.0,4.4,0.0
0.17,1.1,0.0,0.0,0.0,0.0,0.0
0.18,0.0,0.0,0.0,3.5,0.0,0.0
0.19,16.5,3.3,3.0,0.1,0.0,4.4
0.2,69.7,0.0,5.5,0.0,0.0,0.0
0.21,128.6,4.0,4.7,0.0,2.1,0.0
0.22,186.1,0.0,0.1,0.0,3.0,8.2
0.23,229.5,0.0,2.9,2.8,0.0,6.2
0.24,278.6,0.0,3.0,0.0,4.7,0.0
0.25,327.5,0.0,0.6,0.0,0.0,5.9
0.26,369.2,0.0,0.8,0.1,0.0,0.0
0.27,417.5,5.1,0.4,2.3,0.0,0.0
0.28,455.7,1.6,0.0,0.0,1.7,0.0
0.29,488.4,4.1,0.0,0.5,0.4,0.0
0.3,526.2,0.0,0.0,0.2,2.7,2.5
0.31,551.2,0.0,0.0,0.0,7.4,0.4
0.32,571.8,0.0,0.6,0.2,1.6,2.5
0.33,597.2,1.1,0.0,2.9,0.0,0.0
0.34,612.5,7.2,3.0,4.1,1.8,1.5
0.35,626.6,1.6,5.0,3.2,7.8,0.3
0.36,632.6,0.0,5.3,0.0,2.6,0.0
0.37,630.8,0.0,5.7,2.5,3.8,1.9
0.38,626.5,0.0,0.0,1.9,0.0,0.4
0.39,620.8,8.1,0.0,0.0,1.5,0.0
0.4,610.1,4.9,3.7,0.0,0.0,0.0
0.41,593.9,1.0,5.5,2.7,0.0,0.0
0.42,572.1,5.5,6.2,5.5,0.0,0.0
0.43,545.2,41.9,1.9,0.0,0.4,7.0
0.44,520.2,78.1,0.0,6.6,0.0,8.4
0.45,480.2,109.5,46.5,4.7,0.8,0.0
