time_s,L1_heel,L2_lateral_forefoot,L3_medial_forefoot,R1_heel,R2_lateral_forefoot,R3_medial_forefoot
0.0,2.1,0.0,2.4,2.5,3.2,0.0
0.01,0.0,1.6,0.7,3.2,6.8,9.1
0.02,5.2,0.0,2.2,0.0,8.9,0.0
0.03,0.0,6.3,2.6,0.0,0.0,8.6
0.04,0.0,3.4,4.4,0.0,2.4,0.0
0.05,0.0,3.9,0.0,0.0,0.0,0.0
0.06,2.5,7.4,0.6,5.2,4.9,7.8
0.07,0.0,2.9,0.0,2.0,1.6,0.7
0.08,0.4,0.0,0.0,5.1,0.0,0.0
0.09,0.0,0.0,2.7,0.0,0.0,3.4
0.1,0.7,1.0,0.0,5.0,0.0,5.0
0.11,4.4,6.9,8.9,0.5,0.0,0.0
0.12,6.1,3.6,0.1,2.7,0.0,3.6
0.13,0.0,0.0,0.0,0.0,0.1,0.0
0.14,3.7,0.2,2.8,6.5,0.0,0.0
0.15,0.8,0.0,8.9,1.8,0.0,0.0
0.16,0.0,1.2,0.0,7.5,2.5,0.0
0.17,2.0,0.0,2.9,4.4,2.8,0.3
0.18,7.4,5.8,0.0,0.0,0.0,0.4
0.19,0.0,0.5,0.0,6.1,0.0,4.6
0.2,0.0,1.0,0.0,0.7,0.0,3.5
0.21,46.4,0.0,3.4,2.6,10.4,0.0
0.22,111.4,0.0,0.0,2.2,0.0,0.0
0.23,170.6,0.0,4.6,0.0,1.0,0.0
0.24,234.4,5.7,0.0,0.0,1.8,0.4
0.25,277.2,0.0,0.0,2.8,0.0,0.0
0.26,336.8,0.6,0.0,0.0,0.0,0.2
0.27,383.1,0.0,10.4,0.1,0.0,5.8
0.28,436.4,0.0,7.7,5.6,0.0,6.1
0.29,469.9,0.0,8.7,0.0,0.8,0.0
0.3,506.5,0.0,6.1,0.0,0.0,3.1
0.31,543.1,1.0,0.0,4.7,0.6,2.6
0.32,569.8,8.0,0.0,0.0,0.0,0.0
0.33,594.6,0.0,1.2,0.0,0.0,5.6
0.34,610.8,3.9,1.5,0.0,0.0,0.0
0.35,614.9,2.0,0.0,0.0,4.0,4.3
0.36,629.6,0.0,0.0,6.7,0.0,0.0
0.37,630.6,0.0,0.0,0.0,4.1,0.0
0.38,621.1,4.5,0.0,0.0,2.6,0.0
0.39,615.0,0.0,0.0,0.2,0.0,7.5
0.4,590.8,0.0,0.0,4.4,2.2,10.0
0.41,578.1,0.0,1.0,3.4,0.0,0.0
0.42,553.6,27.5,0.0,0.0,2.3,0.0
0.43,523.6,64.8,0.0,2.4,2.5,0.0
0.44,486.7,111.5,38.8,4.2,3.2,0.0
0.45,440.2,142.5,87.4,0.0,0.0,6.5
0.46,393.7,177.6,126.6,0.0,2.7,0.0
0.47,355.6,218.7,167.9,0.0,6.2,0.0
0.48,302.6,248.9,202.5,0.0,0.0,0.0
0.49,249.3,290.9,244.6,2.6,0.0,0.0
0.5,198.2,315.6,277.7,0.0,2.8,3.1
0.51,127.6,344.9,312.3,9.2,0.0,0.5
0.52,82.5,371.4,349.0,2.6,0.0,2.7
0.53,13.6,397.0,374.7,0.0,4.0,4.2
0.54,3.3,419.1,404.0,0.0,0.6,0.0
0.55,0.0,435.3,427.6,0.0,0.0,0.0
0.56,0.0,447.2,445.2,0.0,0.0,2.0
0.57,0.0,463.8,465.7,0.0,0.1,0.0
0.58,0.0,474.9,480.5,5.2,0.0,0.2
0.59,1.9,475.3,492.6,0.0,0.0,4.2
0.6,1.4,477.4,494.7,4.9,5.2,0.5
0.61,3.8,481.9,503.3,0.0,0.0,5.1
0.62,0.0,476.8,510.6,1.0,0.0,0.0
0.63,3.0,477.4,505.9,0.3,0.0,1.4
0.64,0.3,467.8,496.1,3.1,0.0,2.3
0.65,2.5,459.9,483.1,4.4,4.0,1.3
0.66,2.1,448.0,474.9,0.0,3.7,0.0
0.67,0.0,429.1,461.6,2.0,0.1,0.0
0.68,1.0,409.7,443.9,5.2,0.0,4.5
0.69,1.8,389.2,412.7,3.3,0.1,0.0
0.7,3.1,359.0,384.5,0.0,2.0,0.0
0.71,6.0,322.5,362.0,0.0,0.0,2.3
0.72,0.0,296.4,330.2,0.0,1.0,0.0
0.73,0.0,273.9,295.3,7.3,3.1,0.6
0.74,5.1,239.5,257.0,1.2,0.0,0.0
0.75,0.0,206.8,216.8,0.0,0.0,1.2
0.76,4.1,179.3,185.7,0.0,0.0,3.3
0.77,0.0,131.7,146.2,0.0,1.2,0.0
0.78,0.0,92.4,99.8,31.7,6.4,1.0
0.79,0.0,55.6,66.0,81.3,5.6,3.6
0.8,0.0,10.5,17.6,139.5,0.0,0.0
0.81,0.0,3.0,0.0,188.0,0.0,0.6
0.82,0.0,0.0,0.0,245.4,5.5,0.2
0.83,2.7,6.7,0.0,297.8,2.4,1.4
0.84,0.0,0.0,0.0,342.8,2.3,0.0
0.85,0.1,0.0,1.5,373.8,0.0,0.0
0.86,0.0,0.0,9.3,423.5,3.7,0.0
0.87,0.0,0.0,0.3,456.4,0.0,0.0
0.88,0.0,2.5,2.4,495.6,0.9,0.0
0.89,3.8,0.0,0.0,521.0,0.0,4.8
0.9,0.0,5.3,0.8,550.5,6.6,0.0
0.91,0.0,0.0,0.3,560.3,0.0,3.8
0.92,5.4,0.0,0.0,574.8,7.8,7.1
0.93,1.1,8.1,5.4,581.5,0.1,6.8
0.94,0.0,0.0,0.0,587.1,0.0,7.2
0.95,1.3,0.0,4.4,577.1,0.0,0.8
0.96,0.0,0.0,0.0,568.5,0.0,0.3
0.97,5.2,0.0,0.0,556.5,0.0,0.0
0.98,3.7,2.8,0.0,542.2,0.5,0.0
0.99,8.4,1.6,0.0,520.1,25.1,4.5
1.0,0.0,0.6,5.9,487.0,58.6,0.0
1.01,0.0,0.0,0.0,456.6,97.8,30.1
1.02,0.0,0.0,2.7,419.0,135.9,73.8
1.03,0.0,0.0,0.0,375.6,170.0,106.1
1.04,1.5,0.0,2.4,331.0,201.9,158.4
1.05,0.0,0.7,0.8,286.7,233.6,190.9
1.06,0.0,0.0,0.0,241.1,258.1,225.9
1.07,0.0,0.1,0.7,185.1,292.2,262.2
1.08,0.0,0.0,8.7,131.9,314.1,290.1
1.09,5.5,0.0,1.2,80.0,347.5,323.0
1.1,4.0,0.3,3.7,13.2,367.3,346.0
1.11,2.9,0.0,1.2,2.8,391.0,366.2
1.12,2.5,0.7,3.2,5.8,409.0,398.2
1.13,0.0,0.0,0.0,3.8,421.1,424.6
1.14,0.0,0.0,0.0,0.0,429.0,441.9
1.15,0.0,1.9,3.5,0.0,432.3,448.2
1.16,0.0,0.0,0.0,6.5,450.0,458.4
1.17,0.5,4.1,4.3,1.7,450.8,460.4
1.18,0.0,7.2,0.0,1.2,455.4,474.7
1.19,2.8,0.0,0.2,0.1,452.7,472.6
1.2,0.0,0.0,0.0,6.0,447.1,467.2
1.21,0.0,4.8,10.6,3.9,437.5,453.7
1.22,0.0,0.0,0.0,0.0,418.8,444.6
1.23,1.8,0.1,1.7,3.6,416.6,439.4
1.24,2.7,0.0,0.0,0.7,390.0,416.5
1.25,0.0,3.6,0.0,3.5,373.3,405.7
1.26,0.0,0.0,1.2,5.4,352.9,383.7
1.27,0.0,1.8,0.0,4.9,330.3,351.2
1.28,1.3,0.0,0.0,0.0,302.8,329.2
1.29,6.6,3.8,0.0,2.1,273.7,295.4
1.3,61.6,0.0,0.0,5.9,249.2,270.9
1.31,120.9,3.5,0.0,0.0,209.1,246.4
1.32,172.5,0.3,0.0,8.0,179.8,197.1
1.33,220.9,0.0,0.0,2.5,138.9,166.4
1.34,283.2,0.3,4.3,3.8,108.0,126.4
1.35,330.7,2.4,3.3,3.8,70.0,82.9
1.36,367.2,0.0,0.0,0.0,42.8,45.6
1.37,416.0,0.0,0.0,4.0,3.9,0.0
1.38,459.4,0.4,7.2,2.0,0.0,0.6
1.39,487.8,0.0,3.6,0.0,0.0,0.0
1.4,522.5,1.3,2.0,6.5,0.0,5.4
1.41,549.6,0.0,0.0,0.0,0.0,0.0
1.42,567.1,0.0,3.0,0.0,0.0,0.0
1.43,590.3,9.3,0.0,5.8,3.0,0.0
1.44,594.9,0.0,0.0,4.0,0.0,3.4
1.45,597.9,0.5,1.4,0.0,0.0,0.0
1.46,596.6,7.1,2.4,0.0,0.0,0.0
1.47,591.6,3.5,0.9,0.0,0.0,4.1
1.48,578.7,2.2,1.6,1.6,0.0,0.0
1.49,560.4,4.2,0.7,0.0,0.0,0.0
1.5,540.1,2.8,0.0,0.1,1.9,0.0
1.51,517.1,52.3,15.0,0.8,6.1,0.0
1.52,490.2,101.5,40.6,0.0,0.3,0.0
1.53,453.3,147.1,56.3,0.0,0.0,3.3
1.54,413.5,199.7,74.7,0.0,8.7,2.6
1.55,378.5,244.4,100.8,0.4,0.0,0.2
1.56,330.6,277.2,123.8,0.3,0.0,1.5
1.57,271.1,332.7,135.6,0.0,0.0,0.0
1.58,226.1,367.0,169.7,1.6,6.0,2.1
1.59,165.0,409.5,180.6,5.2,2.2,1.7
1.6,115.7,437.6,197.5,0.8,2.1,1.8
1.61,53.1,474.9,215.7,2.2,1.3,1.8
1.62,0.0,505.7,230.1,4.5,0.0,4.0
1.63,2.5,535.8,245.5,0.4,0.0,0.0
1.64,0.0,554.5,260.1,4.1,0.0,0.3
1.65,0.0,567.8,272.0,0.0,0.0,0.0
1.66,0.0,590.3,278.3,0.0,1.1,2.7
1.67,0.0,602.8,277.8,0.0,0.0,0.0
1.68,1.6,615.0,285.6,6.1,3.2,0.0
1.69,4.8,617.3,289.1,3.0,1.1,0.0
1.7,0.0,613.9,290.6,0.0,0.8,0.0
1.71,4.1,614.4,290.1,0.0,0.0,0.0
1.72,0.0,612.9,285.3,0.0,0.0,3.3
1.73,0.0,598.7,279.7,1.8,0.0,0.0
1.74,7.1,571.0,276.8,1.3,4.4,0.0
1.75,0.0,569.5,263.9,0.0,0.0,2.7
1.76,4.3,541.6,257.8,0.0,0.8,0.0
