time_s,L1_heel,L2_lateral_forefoot,L3_medial_forefoot,R1_heel,R2_lateral_forefoot,R3_medial_forefoot
0.0,1.9,3.7,0.0,0.0,0.0,1.5
0.01,2.0,0.0,0.3,0.0,3.1,3.8
0.02,0.0,2.9,5.2,0.3,0.0,0.0
0.03,0.0,2.5,3.7,2.7,0.3,0.0
0.04,3.2,0.0,5.7,2.4,0.0,0.0
0.05,1.8,0.0,1.4,5.1,0.4,0.0
0.06,7.0,5.1,0.0,0.0,4.8,5.0
0.07,1.7,0.0,0.0,0.0,3.6,3.9
0.08,0.0,0.0,0.0,0.0,1.3,0.0
0.09,0.0,0.0,3.7,0.0,5.3,3.2
0.1,0.0,0.0,0.1,0.0,5.5,8.5
0.11,3.2,2.5,5.0,0.0,6.1,0.0
0.12,1.3,0.0,4.2,0.0,0.0,0.0
0.13,0.0,0.2,0.0,2.0,3.0,0.0
0.14,0.0,4.6,7.0,0.0,3.1,1.5
0.15,5.9,0.4,3.8,1.8,0.0,2.1
0.16,5.7,6.3,0.3,1.1,4.1,0.0
0.17,0.0,0.0,1.7,0.0,0.1,0.7
0.18,2.7,0.0,5.7,2.4,0.0,3.4
0.19,1.0,0.0,1.8,0.0,5.1,0.0
0.2,10.3,0.0,0.0,0.9,0.0,0.6
0.21,63.3,0.5,0.0,1.8,0.0,0.0
0.22,112.3,6.1,0.0,0.0,12.8,0.0
0.23,157.3,0.8,0.0,0.0,0.0,3.9
0.24,202.2,0.0,0.8,0.1,2.6,1.9
0.25,248.7,0.0,0.0,0.0,0.0,0.0
0.26,294.3,2.2,0.0,6.9,0.0,3.7
0.27,349.8,1.7,4.9,0.0,0.0,8.5
0.28,380.8,3.2,6.6,0.0,0.0,0.4
0.29,423.4,0.0,0.0,8.3,3.5,0.0
0.3,459.2,9.0,0.0,1.4,9.1,0.0
0.31,488.3,0.0,0.0,0.0,0.0,0.0
0.32,526.1,0.0,1.3,6.1,0.0,0.0
0.33,550.6,4.8,1.4,1.2,0.0,0.0
0.34,575.4,3.6,0.0,0.0,0.0,3.1
0.35,604.2,0.0,2.0,0.0,0.4,0.0
0.36,616.1,2.7,0.0,0.0,0.0,3.6
0.37,640.5,0.0,0.0,4.9,8.5,0.0
0.38,651.5,1.7,0.0,1.2,0.0,0.0
0.39,662.9,0.9,4.1,0.0,3.2,0.0
0.4,664.7,10.2,3.6,0.0,0.0,0.0
0.41,660.2,5.6,1.4,1.2,0.0,3.1
0.42,666.0,4.3,2.7,2.5,0.0,4.3
0.43,660.0,3.1,4.4,0.0,0.0,0.0
0.44,649.0,0.0,3.0,0.8,0.0,2.1
0.45,634.9,0.7,2.9,2.1,0.1,3.1
0.46,609.0,0.0,0.0,0.0,0.0,0.0
0.47,597.9,14.4,0.0,0.0,9.1,1.8
0.48,565.6,47.5,0.0,0.0,1.6,0.0
0.49,541.1,72.6,14.5,0.0,2.3,1.4
0.5,510.3,110.3,40.3,4.7,0.0,0.0
0.51,474.4,143.5,82.9,0.0,0.0,0.0
0.52,445.8,177.6,113.7,0.0,0.0,0.7
0.53,406.8,201.1,145.9,0.0,0.0,0.0
0.54,371.9,230.5,176.3,3.3,0.0,0.0
0.55,328.9,258.8,210.2,3.5,1.6,0.0
0.56,280.6,288.4,244.6,0.0,0.7,4.0
0.57,237.2,311.5,275.7,0.0,0.0,0.2
0.58,186.5,346.3,308.2,0.0,10.6,0.0
0.59,138.3,367.8,331.8,5.6,1.4,5.4
0.6,90.3,397.7,359.0,0.0,0.0,1.7
0.61,39.7,405.4,390.5,0.0,0.0,3.7
0.62,0.8,430.0,418.3,9.7,2.9,0.0
0.63,2.7,439.0,432.9,4.7,0.0,0.0
0.64,0.0,465.3,454.4,0.0,3.8,4.3
0.65,0.0,472.2,470.0,12.5,0.0,1.7
0.66,3.1,484.5,486.2,2.6,0.0,0.0
0.67,0.0,499.8,499.4,0.5,0.0,0.0
0.68,0.0,507.4,510.5,5.9,4.2,0.0
0.69,4.1,504.5,523.4,0.0,0.0,3.7
0.7,0.0,511.8,530.7,0.0,3.0,3.8
0.71,1.7,519.7,531.9,0.3,0.0,3.0
0.72,0.6,512.2,532.9,2.0,3.4,4.6
0.73,3.6,512.5,533.3,1.4,5.1,0.0
0.74,0.0,509.0,535.5,0.8,0.0,0.0
0.75,0.0,506.0,524.9,0.0,0.0,0.0
0.76,0.0,494.6,517.0,34.6,8.9,0.0
0.77,6.6,480.5,512.8,79.2,1.8,0.0
0.78,0.0,461.3,499.8,122.7,2.9,0.7
0.79,0.0,457.7,485.7,165.5,0.0,4.2
0.8,0.0,439.5,473.7,207.4,0.0,2.1
0.81,0.0,428.1,452.1,245.3,0.8,0.0
0.82,0.0,403.8,429.7,297.2,0.0,3.8
0.83,2.3,378.0,411.0,333.2,0.0,1.2
0.84,0.4,352.7,384.0,371.1,1.1,0.0
0.85,0.0,332.9,364.7,397.2,0.0,0.8
0.86,2.9,309.6,334.2,432.4,1.2,3.3
0.87,1.1,281.9,301.5,464.2,0.0,2.3
0.88,5.3,248.6,276.4,493.4,2.8,0.0
0.89,1.3,213.7,241.5,513.7,0.4,0.0
0.9,0.0,191.3,216.7,545.6,2.1,8.4
0.91,0.0,154.9,179.1,561.0,5.4,0.0
0.92,0.6,129.5,148.1,573.9,0.0,0.4
0.93,1.5,102.7,108.6,586.9,0.0,0.0
0.94,0.0,75.4,75.3,594.1,4.8,5.4
0.95,0.0,27.5,42.4,598.1,6.8,3.3
0.96,2.5,0.6,4.5,593.8,5.1,7.1
0.97,1.7,1.6,0.0,606.1,0.0,0.0
0.98,0.1,0.0,2.9,598.6,2.4,5.0
0.99,2.7,0.7,1.1,595.5,0.0,0.0
1.0,0.0,1.5,0.0,582.3,3.6,6.4
1.01,0.0,0.0,0.0,565.7,0.0,0.0
1.02,2.5,4.8,0.0,548.9,0.0,4.3
1.03,3.2,9.7,0.0,525.3,28.7,0.3
1.04,2.6,0.0,0.0,500.1,57.3,2.9
1.05,0.0,3.7,0.0,474.8,83.8,26.1
1.06,1.5,8.4,0.0,446.1,116.2,57.9
1.07,0.2,5.8,0.0,417.8,146.7,97.7
1.08,1.6,0.0,3.9,388.1,179.9,126.9
1.09,7.3,0.0,6.9,351.8,203.1,152.9
1.1,0.0,0.0,0.0,305.2,226.1,181.8
1.11,0.1,0.0,4.3,275.2,251.2,216.5
1.12,0.0,0.0,8.9,231.3,265.1,245.5
1.13,0.0,1.8,0.0,191.2,298.7,267.3
1.14,0.0,0.0,2.0,147.0,322.9,293.6
1.15,0.0,0.3,4.1,94.1,340.7,314.6
1.16,0.0,0.8,0.0,56.8,360.4,343.4
1.17,0.0,0.0,3.8,16.8,370.5,365.3
1.18,0.0,3.4,0.0,0.0,391.3,389.0
1.19,0.0,0.0,3.8,0.0,407.3,411.2
1.2,0.0,1.3,6.1,0.0,421.9,426.0
1.21,4.1,0.0,5.0,0.0,424.1,440.6
1.22,0.9,0.0,0.0,0.0,445.2,448.9
1.23,3.0,3.8,2.4,0.0,453.6,459.5
1.24,3.9,0.0,0.0,1.0,461.7,473.5
1.25,32.7,3.0,0.0,3.3,462.6,480.1
1.26,91.7,0.0,0.0,0.0,470.0,485.8
1.27,144.1,0.0,3.3,0.0,474.3,482.1
1.28,209.5,0.0,0.0,0.0,460.2,483.0
1.29,263.9,2.9,5.8,0.0,457.7,483.6
1.3,322.1,9.2,0.3,3.2,458.9,485.2
1.31,368.0,7.5,0.0,3.2,453.0,476.8
1.32,420.2,0.0,0.0,3.5,437.1,475.3
1.33,459.8,3.2,0.0,1.0,438.2,455.5
1.34,499.6,0.0,5.3,0.0,415.5,443.8
1.35,536.6,0.0,2.0,0.0,404.4,433.3
1.36,562.6,4.0,0.0,2.4,392.5,416.4
1.37,590.8,0.9,3.0,0.0,378.5,397.9
1.38,601.7,0.9,0.0,0.0,350.2,382.3
1.39,623.3,0.0,0.0,2.0,337.2,361.5
1.4,624.0,0.0,0.0,3.0,312.4,333.6
1.41,633.2,0.0,0.0,0.0,284.4,312.3
1.42,614.5,2.1,0.0,2.5,264.1,292.2
1.43,609.9,2.9,2.3,0.0,236.9,261.6
